seed,category
"1","Reactive meandering"
"2","Reactive meandering"
"3","Reactive meandering"
"4","Pattern cycling"
"5","Plowing"
"6","Pattern cycling"
"7","Pattern cycling"
"8","Pattern cycling"
"9","Pattern cycling"
"10","Pattern cycling"
"11","Pattern cycling"
"12","Pattern cycling"
"13","Pattern cycling"
"14","Pattern cycling"
"15","Pattern cycling"
"16","Pattern cycling"
"17","Loop"
"18","Pattern cycling"
"19","Pattern cycling"
"20","Spiraling"
"21","Pattern cycling"
"22","Pattern cycling"
"23","Plowing"
"24","Pattern cycling"
"25","Loop"
"26","Plowing"
"27","Pattern cycling"
"28","Pattern cycling"
"29","Spiraling"
"30","Pattern cycling"
"31","Spiraling"
"32","Spiraling"
"33","Pattern cycling"
"34","Pattern cycling"
"35","Pattern cycling"
"36","Pattern cycling"
"37","Reactive meandering"
"38","Spiraling"
"39","Loop"
"40","Pattern cycling"
"41","Pattern cycling"
"42","Reactive meandering"
"43","Pattern cycling"
"44","Plowing"
"45","Spiraling"
"46","Pattern cycling"
"47","Pattern cycling"
"48","Pattern cycling"
"49","Pattern cycling"
"50","Pattern cycling"
"51","Pattern cycling"
"52","Plowing"
"53","Pattern cycling"
"54","Reactive meandering"
"55","Pattern cycling"
"56","Pattern cycling"
"57","Pattern cycling"
"58","Pattern cycling"
"59","Pattern cycling"
"60","Loop"
"61","Pattern cycling"
"62","Pattern cycling"
"63","Pattern cycling"
"64","Pattern cycling"
"65","Pattern cycling"
"66","Pattern cycling"
"67","Pattern cycling"
"68","Plowing"
"69","Pattern cycling"
"70","Pattern cycling"
"71","Plowing"
"72","Pattern cycling"
"73","Spiraling"
"74","Plowing"
"75","Spiraling"
"76","Pattern cycling"
"77","Spiraling"
"78","Pattern cycling"
"79","Loop"
"80","Spiraling"
"81","Pattern cycling"
"82","Pattern cycling"
"83","Pattern cycling"
"84","Spiraling"
"85","Plowing"
"86","Plowing"
"87","Pattern cycling"
"88","Pattern cycling"
"89","Reactive meandering"
"90","Pattern cycling"
"91","Pattern cycling"
"92","Pattern cycling"
"93","Pattern cycling"
"94","Pattern cycling"
"95","Pattern cycling"
"96","Reactive meandering"
"97","Spiraling"
"98","Pattern cycling"
"99","Pattern cycling"
"100","Plowing"
"101","Pattern cycling"
"102","Pattern cycling"
"103","Pattern cycling"
"104","Pattern cycling"
"105","Pattern cycling"
"106","Pattern cycling"
"107","Loop"
"108","Pattern cycling"
"109","Loop"
"110","Pattern cycling"
"111","Pattern cycling"
"112","Reactive meandering"
"113","Pattern cycling"
"114","Pattern cycling"
"115","Plowing"
"116","Spiraling"
"117","Pattern cycling"
"118","Pattern cycling"
"119","Spiraling"
"120","Pattern cycling"
"121","Pattern cycling"
"122","Pattern cycling"
"123","Plowing"
"124","Spiraling"
"125","Reactive meandering"
"126","Plowing"
"127","Pattern cycling"
"128","Pattern cycling"
"129","Pattern cycling"
"130","Loop"
"131","Pattern cycling"
"132","Pattern cycling"
"133","Pattern cycling"
"134","Reactive meandering"
"135","Pattern cycling"
"136","Reactive meandering"
"137","Pattern cycling"
"138","Pattern cycling"
"139","Pattern cycling"
"140","Pattern cycling"
"141","Pattern cycling"
"142","Pattern cycling"
"143","Pattern cycling"
"144","Pattern cycling"
"145","Reactive meandering"
"146","Reactive meandering"
"147","Loop"
"148","Pattern cycling"
"149","Reactive meandering"
"150","Loop"
"151","Pattern cycling"
"152","Pattern cycling"
"153","Pattern cycling"
"154","Spiraling"
"155","Pattern cycling"
"156","Loop"
"157","Pattern cycling"
"158","Reactive meandering"
"159","Pattern cycling"
"160","Pattern cycling"
"161","Pattern cycling"
"162","Pattern cycling"
"163","Pattern cycling"
"164","Pattern cycling"
"165","Spiraling"
"166","Loop"
"167","Plowing"
"168","Pattern cycling"
"169","Pattern cycling"
"170","Pattern cycling"
"171","Pattern cycling"
"172","Plowing"
"173","Pattern cycling"
"174","Spiraling"
"175","Plowing"
"176","Loop"
"177","Plowing"
"178","Pattern cycling"
"179","Plowing"
"180","Plowing"
"181","Pattern cycling"
"182","Spiraling"
"183","Pattern cycling"
"184","Pattern cycling"
"185","Plowing"
"186","Pattern cycling"
"187","Pattern cycling"
"188","Spiraling"
"189","Pattern cycling"
"190","Reactive meandering"
"191","Pattern cycling"
"192","Spiraling"
"193","Plowing"
"194","Pattern cycling"
"195","Plowing"
"196","Pattern cycling"
"197","Pattern cycling"
"198","Plowing"
"199","Pattern cycling"
"200","Loop"
